Seriale,SAM,Gas_type,J_Num,Nazione,OreM,OreO,Fine_carica,DataP,Viscosita_100,TBN_basic,TAN_acid,ipH,Ossidazione,IR,Sodio,Glicole,Silicio,Ferro,Alluminio,Cromo,Rame,Stagno,Piombo,EndCharge
1001742,SAM0009,ECOBIO 10,JH161,,53737.0,1053.0,0.0,2018-04-26,13.6,0.0,3.1,4.3,7.1,2.0,0.0,-0.0017034165367183635,7.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0
1001742,SAM0009,ECOBIO 10,JH161,,53977.0,1293.0,1.0,2018-05-08,13.4,3.8,3.3,3.6,8.2,1.3,1.0,0.02290399307342572,7.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0
1001742,SAM0009,ECOBIO 10,JH161,,55297.0,1224.0,0.0,2018-07-03,12.9,4.8,2.7,4.2,6.9,1.7,1.0,0.027080811391968607,4.0,8.0,4.0,1.0,2.0,1.0,1.0,0.0
1001742,SAM0009,ECOBIO 10,JH161,,58716.0,1596.0,1.0,2018-11-23,13.4,2.8,2.4,4.3,11.5,2.3,1.0,0.01141104402275335,3.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0
1001742,SAM0009,ECOBIO 10,JH161,,59934.0,1218.0,0.0,2019-01-09,13.5,4.3,1.7,4.8,10.1,1.8,2.0,0.018224406635755544,2.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0
1001742,SAM0009,ECOBIO 10,JH161,,60101.0,1385.0,0.0,2019-01-17,13.4,3.8,2.2,4.5,9.6,2.1,1.0,0.018298838750477137,2.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0
1001742,SAM0009,ECOBIO 10,JH161,,60267.0,1550.0,0.0,2019-01-24,13.3,3.0,2.7,4.5,10.9,2.2,2.0,0.009119787248104541,2.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0
1003048,SAM0015,ECOBIO 5,JH248,IT,66281.0,1433.0,0.0,2018-08-14,14.4,3.7,1.55,5.6,8.9,4.7,1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
1003048,SAM0015,ECOBIO 5,JH248,IT,67311.0,2463.0,1.0,2018-09-26,14.4,3.0,1.68,5.3,11.9,4.8,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0
1003048,SAM0015,ECOBIO 5,JH248,IT,74023.0,1738.0,0.0,2019-07-04,14.1,3.5,1.49,5.921556657705361,9.8,4.7,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,34211.0,693.0,0.0,2015-07-07,14.5,5.0,2.03,6.2,23.5,10.9,1.0,0.0,2.0,11.0,2.0,0.0,3.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,34848.0,1330.0,1.0,2015-08-03,15.2,2.5,3.0,5.2,7.7,4.9,3.0,0.0,2.0,7.0,2.0,0.0,4.0,0.0,0.0,1.0
1003053,SAM0006,ECOBIO 5,JH245,IT,36759.0,419.0,0.0,2015-10-27,13.7,4.4,1.55,6.3,3.3,0.4,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,37427.0,1087.0,1.0,2015-11-24,13.6,3.2,2.04,5.6,6.4,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
1003053,SAM0006,ECOBIO 5,JH245,IT,38795.0,762.0,0.0,2016-01-25,13.7,4.1,1.53,5.7,6.0,3.5,0.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,39566.0,1533.0,0.0,2016-02-29,13.7,2.7,1.95,6.0,8.9,5.2,0.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,40066.0,2033.0,1.0,2016-03-21,14.1,2.7,1.78,5.1,10.7,6.2,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
1003053,SAM0006,ECOBIO 5,JH245,IT,40305.0,239.0,0.0,2016-03-31,13.4,4.8,1.58,7.3,3.9,2.6,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,41056.0,990.0,0.0,2016-05-02,14.0,3.9,1.7,6.3,7.0,4.7,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,41982.0,1916.0,1.0,2016-06-10,14.1,2.9,1.88,5.0,11.6,6.5,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
1003053,SAM0006,ECOBIO 5,JH245,IT,42444.0,400.0,0.0,2016-06-30,13.6,4.3,1.41,6.4,4.1,0.8,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,43287.0,1245.0,0.0,2016-08-04,14.0,2.4,1.96,5.6,7.6,2.6,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,43708.0,1666.0,1.0,2016-08-23,13.9,2.0,2.65,5.3,9.1,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
1003053,SAM0006,ECOBIO 5,JH245,IT,44592.0,737.0,0.0,2016-09-30,13.6,3.7,1.76,6.1,5.6,1.8,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,45323.0,1467.0,1.0,2016-10-31,14.1,3.1,1.78,6.0,8.6,3.5,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0
1003053,SAM0006,ECOBIO 5,JH245,IT,45971.0,649.0,0.0,2016-11-28,13.9,4.7,1.51,6.7,5.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
1003053,SAM0006,ECOBIO 5,JH245,IT,46796.0,1472.0,1.0,2017-01-02,14.0,4.1,1.57,6.0,7.7,3.9,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0
1003053,SAM0006,ECOBIO 5,JH245,IT,48277.0,1479.0,1.0,2017-03-06,14.3,4.0,1.7,5.4,8.0,3.5,1.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0
