Viscosita_100,TBN_basic,TAN_acid,ipH,Ossidazione,IR,Sodio,Glicole,Silicio,Ferro,Alluminio,Cromo,Rame,Stagno,Piombo,EndCharge
13.6,0.0,3.1,4.3,7.1,2.0,0.0,0.02624042634419429,7.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0
13.4,3.8,3.3,3.6,8.2,1.3,1.0,0.01278589753499737,7.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0
12.9,4.8,2.7,4.2,6.9,1.7,1.0,0.03822162596057648,4.0,8.0,4.0,1.0,2.0,1.0,1.0,0.0
13.4,2.8,2.4,4.3,11.5,2.3,1.0,0.02381945567957041,3.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0
13.5,4.3,1.7,4.8,10.1,1.8,2.0,0.0011358584238263959,2.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0
13.4,3.8,2.2,4.5,9.6,2.1,1.0,0.02101781206766546,2.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0
13.3,3.0,2.7,4.5,10.9,2.2,2.0,0.010953021056135022,2.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0
14.4,3.7,1.55,5.6,8.9,4.7,1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
14.4,3.0,1.68,5.3,11.9,4.8,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0
14.1,3.5,1.49,5.403539838147976,9.8,4.7,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
14.5,5.0,2.03,6.2,23.5,10.9,1.0,0.0,2.0,11.0,2.0,0.0,3.0,0.0,0.0,0.0
15.2,2.5,3.0,5.2,7.7,4.9,3.0,0.0,2.0,7.0,2.0,0.0,4.0,0.0,0.0,1.0
13.7,4.4,1.55,6.3,3.3,0.4,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.6,3.2,2.04,5.6,6.4,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
13.7,4.1,1.53,5.7,6.0,3.5,0.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
13.7,2.7,1.95,6.0,8.9,5.2,0.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
14.1,2.7,1.78,5.1,10.7,6.2,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
13.4,4.8,1.58,7.3,3.9,2.6,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
14.0,3.9,1.7,6.3,7.0,4.7,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
14.1,2.9,1.88,5.0,11.6,6.5,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
13.6,4.3,1.41,6.4,4.1,0.8,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.0,2.4,1.96,5.6,7.6,2.6,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
13.9,2.0,2.65,5.3,9.1,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
13.6,3.7,1.76,6.1,5.6,1.8,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
14.1,3.1,1.78,6.0,8.6,3.5,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0
13.9,4.7,1.51,6.7,5.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.0,4.1,1.57,6.0,7.7,3.9,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0
14.3,4.0,1.7,5.4,8.0,3.5,1.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0
13.9,4.8,1.27,7.2,3.8,0.8,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
14.0,3.4,1.82,5.7,8.9,4.4,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
14.0,4.5,1.55,6.0,4.9,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.4,3.8,1.61,5.8,9.5,5.3,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
14.4,3.5,1.67,5.5,10.6,5.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0
14.1,3.8,1.67,6.1,9.1,4.3,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
14.0,4.7,1.34,6.9,4.9,1.5,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.4,3.9,1.59,6.4,8.8,4.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
14.3,3.9,1.48,5.8,9.0,4.8,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
14.1,3.9,1.43,6.0,9.4,5.2,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0
